target_id	length	eff_length	est_counts	tpm
NM_001243976.1	1836	1564.41	8312	95.3617
NM_001243977.1	1578	1306.41	34889.5	479.33
NM_001243978.1	1654	1382.41	27098.3	351.823
NM_001243979.1	1626	1354.41	77104.7	1021.76
NM_001243980.1	1344	1072.41	2417	40.4516
NM_001243981.1	3248	2976.41	6662	40.1727
NM_001243982.1	3260	2988.41	1659	9.9638
NM_001243983.1	1226	954.406	3778.86	71.0634
NM_001243986.1	2418	2146.41	6475	54.1435
NM_001243987.1	3905	3633.41	14.0471	0.0693892
NM_001243988.1	4296	4024.41	2840.14	12.6665
NM_001243989.1	4280	4008.41	731.429	3.27505
NM_001243990.1	3110	2838.41	2547	16.1054
NM_001243991.2	1523	1251.41	2455	35.2104
NM_001243992.1	3220	2948.41	6266	38.1436
NM_001243994.2	1291	1019.41	997.37	17.5601
NM_001243995.2	1075	803.406	7047.75	157.447
NM_001243997.1	1086	814.406	9495.81	209.271
NM_001244001.1	1923	1651.41	3152	34.2571
NM_001244002.2	6731	6459.41	24453	67.945
NM_001244003.1	3816	3544.41	1123	5.68662
NM_001244004.1	4987	4715.41	15436	58.7535
NM_001244005.2	1146	874.406	560.188	11.4984
NM_001244006.1	1176	904.406	2735.1	54.2785
NM_001244007.1	1209	937.406	1752.77	33.5595
NM_001244009.2	1770	1498.41	1703	20.3987
NM_001244010.1	1959	1687.41	1085	11.5406
NM_001244012.2	3050	2778.41	3995	25.8071
NM_001244013.1	2416	2144.41	9882	82.7096
NM_001244016.1	1327	1055.41	18405	312.993
NM_001244017.1	2834	2562.41	385	2.69669
NM_001244018.2	1443	1171.41	1686	25.8326
NM_001244019.1	1455	1183.41	951	14.4233
NM_001244020.1	821	550.247	2176	70.9773
NM_001244021.1	1755	1483.41	9.95421	0.120438
NM_001244022.1	1746	1474.41	0	0
NM_001244023.1	1671	1399.41	0	0
NM_001244024.1	2251	1979.41	0	0
NM_001244025.1	1691	1419.41	4	0.0505791
NM_001244026.1	1966	1694.41	1500	15.8888
NM_001244027.1	1041	769.406	4615	107.655
NM_001244028.1	324	143.26	6867.23	860.349
NM_001244032.1	2830	2558.41	1709	11.9892
NM_001244033.1	1023	751.406	77558.4	1852.56
NM_001244034.1	3626	3354.41	21633	115.75
NM_001244035.1	1244	972.406	349	6.44163
NM_001244036.1	4119	3847.41	8978	41.8822
NM_001244037.1	1300	1028.41	1009.33	17.6152
NM_001244039.1	2933	2661.41	129209	871.364
NM_001244040.1	454	235.518	49613	3780.85
NM_001244041.1	2460	2188.41	6515.03	53.4326
NM_001244042.1	930	658.577	15562	424.108
NM_001244043.1	905	633.676	23442.1	663.968
NM_001244044.1	947	675.536	5606	148.944
NM_001244045.1	1853	1581.41	10150.9	115.207
NM_001244046.1	834	563.041	1940	61.8415
NM_001244047.1	1139	867.406	2898.1	59.9665
NM_001244048.1	888	616.696	4756	138.417
NM_001244049.1	1113	841.406	2726.9	58.1677
NM_001244050.1	999	727.406	58954	1454.64
NM_001244051.1	1080	808.406	7090.76	157.428
NM_001244052.1	1080	808.406	2239.24	49.7152
NM_001244053.1	1660	1388.41	167383	2163.78
NM_001244054.1	1068	796.406	32731	737.637
NM_001244055.1	1065	793.406	1240	28.0507
NM_001244056.1	1065	793.406	1908	43.1619
NM_001244057.1	1134	862.406	361	7.513
NM_001244058.1	1065	793.406	9088	205.585
