target_id	length	eff_length	est_counts	tpm
NM_001243976.1	1836	1591.51	5077	54.3636
NM_001243977.1	1578	1333.51	28554.4	364.911
NM_001243978.1	1654	1409.51	20252.3	244.859
NM_001243979.1	1626	1381.51	41221.9	508.493
NM_001243980.1	1344	1099.51	2141	33.1839
NM_001243981.1	3248	3003.51	4827	27.3879
NM_001243982.1	3260	3015.51	1557	8.79912
NM_001243983.1	1226	981.515	3464	60.1441
NM_001243986.1	2418	2173.51	4372	34.2791
NM_001243987.1	3905	3660.51	18.2818	0.0851118
NM_001243988.1	4296	4051.51	3273.37	13.7686
NM_001243989.1	4280	4035.51	612.04	2.5846
NM_001243990.1	3110	2865.51	3378.51	20.0925
NM_001243991.2	1523	1278.51	1705	22.7264
NM_001243992.1	3220	2975.51	4825	27.6342
NM_001243994.2	1291	1046.51	1431.87	23.3169
NM_001243995.2	1075	830.515	9177.94	188.326
NM_001243997.1	1086	841.515	12691.6	257.02
NM_001244001.1	1923	1678.51	3546	36.0019
NM_001244002.2	6731	6486.51	26426	69.4276
NM_001244003.1	3816	3571.51	909	4.33734
NM_001244004.1	4987	4742.51	13963	50.1744
NM_001244005.2	1146	901.515	455.224	8.60527
NM_001244006.1	1176	931.515	2791.05	51.061
NM_001244007.1	1209	964.515	1560.12	27.5653
NM_001244009.2	1770	1525.51	1439	16.0752
NM_001244010.1	1959	1714.51	1037	10.3074
NM_001244012.2	3050	2805.51	5314	32.2791
NM_001244013.1	2416	2171.51	6497	50.9873
NM_001244016.1	1327	1082.51	27789	437.473
NM_001244017.1	2834	2589.51	467	3.07334
NM_001244018.2	1443	1198.51	1714	24.3713
NM_001244019.1	1455	1210.51	1291	18.1747
NM_001244020.1	821	578.403	6311	185.943
NM_001244021.1	1755	1510.51	7.22286	0.0814885
NM_001244022.1	1746	1501.51	0	0
NM_001244023.1	1671	1426.51	0	0
NM_001244024.1	2251	2006.51	0	0
NM_001244025.1	1691	1446.51	8	0.0942495
NM_001244026.1	1966	1721.51	1784	17.6602
NM_001244027.1	1041	796.515	3175	67.93
NM_001244028.1	324	151.044	9337.89	1053.55
NM_001244032.1	2830	2585.51	2149	14.1645
NM_001244033.1	1023	778.515	84319.9	1845.76
NM_001244034.1	3626	3381.51	19582	98.6865
NM_001244035.1	1244	999.515	525	8.95122
NM_001244036.1	4119	3874.51	11388	50.089
NM_001244037.1	1300	1055.51	1039.64	16.7854
NM_001244039.1	2933	2688.51	107308	680.192
NM_001244040.1	454	250.299	55500	3778.74
NM_001244041.1	2460	2215.51	6794.38	52.2622
NM_001244042.1	930	685.771	13845	344.053
NM_001244043.1	905	660.962	23836.6	614.582
NM_001244044.1	947	702.664	7418	179.908
NM_001244045.1	1853	1608.51	11053.4	117.107
NM_001244046.1	834	591.146	3635	104.79
NM_001244047.1	1139	894.515	2764.98	52.6764
NM_001244048.1	888	644.181	4973	131.56
