target_id	length	eff_length	est_counts	tpm
NM_001243976.1	1836	1605.26	3438	48.122
NM_001243977.1	1578	1347.26	15253	254.382
NM_001243978.1	1654	1423.26	20756.2	327.678
NM_001243979.1	1626	1395.26	12275.4	197.68
NM_001243980.1	1344	1113.26	2277	45.9568
NM_001243981.1	3248	3017.26	1078.55	8.03174
NM_001243982.1	3260	3029.26	1580	11.7193
NM_001243983.1	1226	995.258	2190.34	49.4491
NM_001243986.1	2418	2187.26	3253	33.4169
NM_001243987.1	3905	3674.26	28.148	0.172131
NM_001243988.1	4296	4065.26	2276.1	12.5802
NM_001243989.1	4280	4049.26	568.741	3.15589
NM_001243990.1	3110	2879.26	2682	20.9296
NM_001243991.2	1523	1292.26	1330	23.1252
NM_001243992.1	3220	2989.26	5775	43.4081
NM_001243994.2	1291	1060.26	1254.86	26.5929
NM_001243995.2	1075	844.258	11040	293.816
NM_001243997.1	1086	855.258	10567.2	277.616
NM_001244001.1	1923	1692.26	3123	41.4656
NM_001244002.2	6731	6500.26	12804	44.2586
NM_001244003.1	3816	3585.26	828	5.1891
NM_001244004.1	4987	4756.26	7291	34.4432
NM_001244005.2	1146	915.258	251.544	6.17522
NM_001244006.1	1176	945.258	1537.69	36.5511
NM_001244007.1	1209	978.258	1013.8	23.2853
NM_001244009.2	1770	1539.26	920	13.4295
NM_001244010.1	1959	1728.26	1326	17.2392
NM_001244012.2	3050	2819.26	3912	31.1779
NM_001244013.1	2416	2185.26	4078	41.9302
NM_001244016.1	1327	1096.26	28400	582.087
NM_001244017.1	2834	2603.26	447	3.85809
NM_001244018.2	1443	1212.26	1848	34.2523
NM_001244019.1	1455	1224.26	2056	37.734
NM_001244020.1	821	591.485	3937	149.556
NM_001244021.1	1755	1524.26	8.82728	0.130122
NM_001244022.1	1746	1515.26	0	0
NM_001244023.1	1671	1440.26	0	0
NM_001244024.1	2251	2020.26	1	0.0111218
NM_001244025.1	1691	1460.26	2	0.0307739
NM_001244026.1	1966	1735.26	1609	20.8341
NM_001244027.1	1041	810.258	2412	66.8862
NM_001244028.1	324	150.476	4754.2	709.892
NM_001244032.1	2830	2599.26	1739	15.0325
NM_001244033.1	1023	792.258	33738.4	956.842
NM_001244034.1	3626	3395.26	16661	110.258
NM_001244035.1	1244	1013.26	404	8.95867
NM_001244036.1	4119	3888.26	6861	39.6474
NM_001244037.1	1300	1069.26	1073.79	22.5642
NM_001244039.1	2933	2702.26	61219	509.028
NM_001244040.1	454	252.611	34521	3070.53
NM_001244041.1	2460	2229.26	5414.25	54.5708
NM_001244042.1	930	699.519	10266	329.75
NM_001244043.1	905	674.653	7731.96	257.508
NM_001244044.1	947	716.403	2417	75.8057
NM_001244045.1	1853	1622.26	8449.79	117.033
NM_001244046.1	834	604.172	2844	105.767
NM_001244047.1	1139	908.258	2578.03	63.7765
NM_001244048.1	888	657.762	2720	92.9143
