target_id	length	eff_length	est_counts	tpm
NM_001243976.1	1836	1585.13	6909	72.3768
NM_001243977.1	1578	1327.13	37345.7	467.278
NM_001243978.1	1654	1403.13	32853.7	388.808
NM_001243979.1	1626	1375.13	74824	903.536
NM_001243980.1	1344	1093.13	2628	39.921
NM_001243981.1	3248	2997.13	5560	30.8048
NM_001243982.1	3260	3009.13	1495	8.24992
NM_001243983.1	1226	975.134	4173.34	71.0672
NM_001243986.1	2418	2167.13	4803	36.8024
NM_001243987.1	3905	3654.13	26.192	0.119024
NM_001243988.1	4296	4045.13	4072.34	16.7171
NM_001243989.1	4280	4029.13	652.524	2.68927
NM_001243990.1	3110	2859.13	2789	16.1981
NM_001243991.2	1523	1272.13	2684	35.0348
NM_001243992.1	3220	2969.13	7634	42.6945
NM_001243994.2	1291	1040.13	1356.93	21.6629
NM_001243995.2	1075	824.134	9065.94	182.669
NM_001243997.1	1086	835.134	9983.84	198.514
NM_001244001.1	1923	1672.13	3339	33.1585
NM_001244002.2	6731	6480.13	23783	60.9442
NM_001244003.1	3816	3565.13	1040	4.84404
NM_001244004.1	4987	4736.13	16333	57.2653
NM_001244005.2	1146	895.134	534.901	9.92282
NM_001244006.1	1176	925.134	2726.16	48.9324
NM_001244007.1	1209	958.134	2334	40.4505
NM_001244009.2	1770	1519.13	2440	26.6713
NM_001244010.1	1959	1708.13	1319	12.8225
NM_001244012.2	3050	2799.13	4595	27.2591
NM_001244013.1	2416	2165.13	10069	77.2238
NM_001244016.1	1327	1076.13	13992	215.905
NM_001244017.1	2834	2583.13	494	3.17563
NM_001244018.2	1443	1192.13	1647	22.9413
NM_001244019.1	1455	1204.13	1328	18.3136
NM_001244020.1	821	571.65	2237	64.9809
NM_001244021.1	1755	1504.13	3.00179	0.0331394
NM_001244022.1	1746	1495.13	0	0
NM_001244023.1	1671	1420.13	0	0
NM_001244024.1	2251	2000.13	0	0
NM_001244025.1	1691	1440.13	3	0.0345914
NM_001244026.1	1966	1715.13	1545	14.9582
NM_001244027.1	1041	790.134	4060	85.3248
NM_001244028.1	324	147.27	7399.87	834.372
NM_001244032.1	2830	2579.13	1734	11.1641
NM_001244033.1	1023	772.134	93724.7	2015.63
NM_001244034.1	3626	3375.13	20602	101.36
NM_001244035.1	1244	993.134	423	7.07265
NM_001244036.1	4119	3868.13	11527	49.484
NM_001244037.1	1300	1049.13	962.838	15.2395
NM_001244039.1	2933	2682.13	138872	859.774
NM_001244040.1	454	244.91	62775	4256.28
NM_001244041.1	2460	2209.13	6708.43	50.4253
NM_001244042.1	930	679.259	14507	354.643
NM_001244043.1	905	654.337	25761.6	653.766
NM_001244044.1	947	696.259	6309	150.466
NM_001244045.1	1853	1602.13	10934.9	113.335
NM_001244046.1	834	584.184	1843	52.3872
NM_001244047.1	1139	888.134	2902.12	54.2608
NM_001244048.1	888	637.485	3842	100.078
NM_001244049.1	1113	862.134	2071.88	39.9062
NM_001244050.1	999	748.134	65870	1462.04
NM_001244051.1	1080	829.134	7407.43	148.352
NM_001244052.1	1080	829.134	1735.57	34.759
NM_001244053.1	1660	1409.13	171811	2024.64
NM_001244054.1	1068	817.134	30612	622.083
NM_001244055.1	1065	814.134	1160	23.6598
NM_001244056.1	1065	814.134	2408	49.1146
NM_001244057.1	1134	883.134	287	5.39641
NM_001244058.1	1065	814.134	8447	172.289
NM_001244073.1	1288	1037.13	4175	66.8454
NM_001244074.1	1608	1357.13	6	0.0734139
NM_001244075.1	1477	1226.13	10790	146.128
NM_001244076.1	1295	1044.13	738	11.7368
NM_001244078.1	2519	2268.13	3465	25.3679
NM_001244079.1	2699	2448.13	12691	86.0816
NM_001244085.1	2091	1840.13	2892	26.0975
NM_001244087.1	1718	1467.13	51.6247	0.584302
NM_001244088.1	1462	1211.13	50.6924	0.695025
NM_001244089.1	1732	1481.13	864	9.68655
NM_001244097.2	2300	2049.13	0	0
NM_001244098.1	1534	1283.13	28451.7	368.201
NM_001244100.1	1833	1582.13	394	4.13526
NM_001244101.2	2412	2161.13	172523	1325.61
NM_001244115.1	1354	1103.13	26615	400.634
NM_001244117.1	703	459.405	2664	96.2915
NM_001244118.1	1982	1731.13	1141	10.9447
NM_001244122.1	1254	1003.13	255864	4235.45
NM_001244136.1	1399	1148.13	22267	322.047
NM_001244139.1	1199	948.134	394.766	6.91384
NM_001244144.1	915	664.337	29825.2	745.496
