target_id	length	eff_length	est_counts	tpm
NM_001243976.1	1836	1564.16	8086	115.502
NM_001243977.1	1578	1306.16	29146.5	498.57
NM_001243978.1	1654	1382.16	17779.8	287.411
NM_001243979.1	1626	1354.16	65178.8	1075.4
NM_001243980.1	1344	1072.16	1782	37.135
NM_001243981.1	3248	2976.16	6114	45.8991
NM_001243982.1	3260	2988.16	1502	11.2306
NM_001243983.1	1226	954.156	3568.45	83.5592
NM_001243986.1	2418	2146.16	5459	56.8311
NM_001243987.1	3905	3633.16	1.0074	0.00619519
NM_001243988.1	4296	4024.16	1769.95	9.827
NM_001243989.1	4280	4008.16	577.95	3.22166
NM_001243990.1	3110	2838.16	1633	12.8554
NM_001243991.2	1523	1251.16	2817	50.3048
NM_001243992.1	3220	2948.16	4568	34.6186
NM_001243994.2	1291	1019.16	617.992	13.548
NM_001243995.2	1075	803.156	5456.01	151.778
NM_001243997.1	1086	814.156	5945.11	163.15
NM_001244001.1	1923	1651.16	2593	35.0872
NM_001244002.2	6731	6459.16	24652	85.2729
NM_001244003.1	3816	3544.16	839	5.28912
NM_001244004.1	4987	4715.16	13776	65.2772
NM_001244005.2	1146	874.156	470.699	12.0306
NM_001244006.1	1176	904.156	2553.75	63.1057
NM_001244007.1	1209	937.156	1439.16	34.3109
NM_001244009.2	1770	1498.16	1533	22.8623
NM_001244010.1	1959	1687.16	815	10.7929
NM_001244012.2	3050	2778.16	2264	18.2077
NM_001244013.1	2416	2144.16	9637	100.42
NM_001244016.1	1327	1055.16	15128	320.331
NM_001244017.1	2834	2562.16	296	2.58119
NM_001244018.2	1443	1171.16	1440	27.4715
NM_001244019.1	1455	1183.16	592	11.1793
NM_001244020.1	821	550.897	1849	74.9896
NM_001244021.1	1755	1483.16	3.56266	0.0536688
NM_001244022.1	1746	1474.16	0	0
NM_001244023.1	1671	1399.16	0	0
NM_001244024.1	2251	1979.16	0	0
NM_001244025.1	1691	1419.16	1	0.0157436
NM_001244026.1	1966	1694.16	1661	21.9054
NM_001244027.1	1041	769.156	3726	108.234
NM_001244028.1	324	147.277	4488.61	680.943
NM_001244032.1	2830	2558.16	1537	13.424
NM_001244033.1	1023	751.156	71619.9	2130.28
NM_001244034.1	3626	3354.16	20604	137.247
NM_001244035.1	1244	972.156	278	6.38915
NM_001244036.1	4119	3847.16	6623	38.4635
NM_001244037.1	1300	1028.16	729.594	15.8547
NM_001244039.1	2933	2661.16	104532	877.634
NM_001244040.1	454	241.566	40341	3731.18
NM_001244041.1	2460	2188.16	5189.12	52.9847
NM_001244042.1	930	658.272	9069	307.814
NM_001244043.1	905	633.364	20865.8	736.066
NM_001244044.1	947	675.196	4376	144.804
NM_001244045.1	1853	1581.16	9957.38	140.703
NM_001244046.1	834	563.61	1635	64.8146
NM_001244047.1	1139	867.156	2622.66	67.5739
