target_id	length	eff_length	est_counts	tpm
NM_001243976.1	1836	1596.21	3130	55.3734
NM_001243977.1	1578	1338.21	9986.16	210.727
NM_001243978.1	1654	1414.21	11107.3	221.79
NM_001243979.1	1626	1386.21	10683.2	217.63
NM_001243980.1	1344	1104.21	1477	37.7725
NM_001243981.1	3248	3008.21	1183	11.1051
NM_001243982.1	3260	3020.21	999	9.34062
NM_001243983.1	1226	986.213	1956.4	56.0189
NM_001243986.1	2418	2178.21	1699	22.0263
NM_001243987.1	3905	3665.21	21.2091	0.163407
NM_001243988.1	4296	4056.21	1612.83	11.2283
NM_001243989.1	4280	4040.21	366.538	2.5619
NM_001243990.1	3110	2870.21	2026	19.933
NM_001243991.2	1523	1283.21	771	16.9669
NM_001243992.1	3220	2980.21	4032	38.2051
NM_001243994.2	1291	1051.21	799.23	21.4698
NM_001243995.2	1075	835.213	6583.43	222.588
NM_001243997.1	1086	846.213	7942.02	265.032
NM_001244001.1	1923	1683.21	2184	36.6405
NM_001244002.2	6731	6491.21	11343	49.3458
NM_001244003.1	3816	3576.21	681	5.37739
NM_001244004.1	4987	4747.21	4292	25.531
NM_001244005.2	1146	906.213	175.958	5.48309
NM_001244006.1	1176	936.213	1350.02	40.7204
NM_001244007.1	1209	969.213	860.916	25.0835
NM_001244009.2	1770	1530.21	854	15.7599
NM_001244010.1	1959	1719.21	755	12.4012
NM_001244012.2	3050	2810.21	3572	35.8938
NM_001244013.1	2416	2176.21	3626	47.0516
NM_001244016.1	1327	1087.21	19802	514.33
NM_001244017.1	2834	2594.21	304	3.30914
NM_001244018.2	1443	1203.21	1399	32.8339
NM_001244019.1	1455	1215.21	1004	23.3308
NM_001244020.1	821	582.582	3346	162.187
NM_001244021.1	1755	1515.21	2.3661	0.0440969
NM_001244022.1	1746	1506.21	0	0
NM_001244023.1	1671	1431.21	0	0
NM_001244024.1	2251	2011.21	0	0
NM_001244025.1	1691	1451.21	7	0.136212
NM_001244026.1	1966	1726.21	1128	18.4528
NM_001244027.1	1041	801.213	1888	66.5429
NM_001244028.1	324	146.244	4338.84	837.803
NM_001244032.1	2830	2590.21	1497	16.3205
NM_001244033.1	1023	783.213	35271.9	1271.74
NM_001244034.1	3626	3386.21	11105	92.6087
