target_id	length	eff_length	est_counts	tpm
NM_001243976.1	1836	1576.53	4922	47.4378
NM_001243977.1	1578	1318.53	30222.5	348.278
NM_001243978.1	1654	1394.53	28435.3	309.825
NM_001243979.1	1626	1366.53	42552.7	473.145
NM_001243980.1	1344	1084.53	2532	35.4738
NM_001243981.1	3248	2988.53	4577	23.2707
NM_001243982.1	3260	3000.53	1843	9.33282
NM_001243983.1	1226	966.529	4170.32	65.5601
NM_001243986.1	2418	2158.53	3726	26.2283
NM_001243987.1	3905	3645.53	46.3396	0.193142
NM_001243988.1	4296	4036.53	4566.6	17.1898
NM_001243989.1	4280	4020.53	492.234	1.86026
NM_001243990.1	3110	2850.53	4193	22.3504
NM_001243991.2	1523	1263.53	2515	30.2439
NM_001243992.1	3220	2960.53	7561	38.8057
NM_001243994.2	1291	1031.53	1862.22	27.4306
NM_001243995.2	1075	815.529	12756.7	237.676
NM_001243997.1	1086	826.529	13241.2	243.418
NM_001244001.1	1923	1663.53	3418	31.2196
NM_001244002.2	6731	6471.53	26057	61.1791
NM_001244003.1	3816	3556.53	1107	4.72941
NM_001244004.1	4987	4727.53	16330	52.4853
NM_001244005.2	1146	886.529	355.17	6.08735
NM_001244006.1	1176	916.529	2741.79	45.4541
NM_001244007.1	1209	949.529	2425	38.8051
NM_001244009.2	1770	1510.53	2196	22.0896
NM_001244010.1	1959	1699.53	1835	16.4056
NM_001244012.2	3050	2790.53	4976	27.0944
NM_001244013.1	2416	2156.53	8189	57.698
NM_001244016.1	1327	1067.53	17200	244.813
NM_001244017.1	2834	2574.53	529	3.12207
NM_001244018.2	1443	1183.53	1947	24.9961
NM_001244019.1	1455	1195.53	1516	19.2675
NM_001244020.1	821	562.641	6196	167.327
NM_001244021.1	1755	1495.53	6.97051	0.0708198
NM_001244022.1	1746	1486.53	0	0
NM_001244023.1	1671	1411.53	0	0
NM_001244024.1	2251	1991.53	0	0
NM_001244025.1	1691	1431.53	9	0.0955273
NM_001244026.1	1966	1706.53	1933	17.2109
NM_001244027.1	1041	781.529	2300	44.7165
NM_001244028.1	324	147.336	8260.76	851.917
NM_001244032.1	2830	2570.53	1772	10.4743
NM_001244033.1	1023	763.529	96074.3	1911.91
NM_001244034.1	3626	3366.53	18636	84.1116
NM_001244035.1	1244	984.529	638	9.8464
NM_001244036.1	4119	3859.53	13609	53.5769
NM_001244037.1	1300	1040.53	1041.95	15.2152
NM_001244039.1	2933	2673.53	131347	746.484
NM_001244040.1	454	243.71	72506	4520.5
NM_001244041.1	2460	2200.53	6811.2	47.0307
NM_001244042.1	930	670.661	11687	264.78
NM_001244043.1	905	645.702	24244.3	570.508
NM_001244044.1	947	687.596	6925	153.028
NM_001244045.1	1853	1593.53	11290.1	107.652
NM_001244046.1	834	575.37	3174	83.8196
NM_001244047.1	1139	879.529	2984.62	51.5614
NM_001244048.1	888	628.763	4153	100.36
NM_001244049.1	1113	853.529	2915.38	51.8993
NM_001244050.1	999	739.529	88925	1827.06
NM_001244051.1	1080	820.529	7438	137.736
NM_001244052.1	1080	820.529	2212	40.9616
NM_001244053.1	1660	1400.53	204891	2222.88
NM_001244054.1	1068	808.529	31143	585.262
NM_001244055.1	1065	805.529	1207	22.7673
NM_001244056.1	1065	805.529	3149	59.3987
NM_001244057.1	1134	874.529	382	6.63704
NM_001244058.1	1065	805.529	10632	200.548
NM_001244073.1	1288	1028.53	11799	174.307
NM_001244074.1	1608	1348.53	18	0.202814
NM_001244075.1	1477	1217.53	15034	187.621
NM_001244076.1	1295	1035.53	437	6.41216
NM_001244078.1	2519	2259.53	3928	26.4143
NM_001244079.1	2699	2439.53	8957	55.7881
NM_001244085.1	2091	1831.53	3522	29.2187
NM_001244087.1	1718	1458.53	72.8618	0.75905
NM_001244088.1	1462	1202.53	68.7401	0.86856
NM_001244089.1	1732	1472.53	1335	13.7754
NM_001244097.2	2300	2040.53	0	0
NM_001244098.1	1534	1274.53	28894.3	344.467
NM_001244100.1	1833	1573.53	475	4.58674
NM_001244101.2	2412	2152.53	106102	748.959
NM_001244115.1	1354	1094.53	28718	398.669
NM_001244117.1	703	451.088	3075	103.578
NM_001244118.1	1982	1722.53	1159.32	10.2264
NM_001244122.1	1254	994.529	282987	4323.49
NM_001244136.1	1399	1139.53	16913	225.518
NM_001244139.1	1199	939.529	997.988	16.1399
NM_001244144.1	915	655.661	25980.8	602.086
NM_001244250.1	2026	1766.53	858	7.37992
NM_001244267.1	1254	994.529	14820	226.421
NM_001244269.1	5818	5558.53	4971	13.5884
NM_001244273.1	3816	3556.53	7997	34.1654
NM_001244275.2	2547	2287.53	4536	30.1295
NM_001244278.1	1848	1588.53	822	7.86252
NM_001244281.1	1709	1449.53	26379	276.514
NM_001244287.1	710	457.473	45850.1	1522.86
NM_001244292.1	2794	2534.53	13346	80.0091
NM_001244293.1	4183	3923.53	9357	36.2364
NM_001244298.1	1743	1483.53	8422	86.259
NM_001244378.1	3117	2857.53	178880	951.167
NM_001244381.1	1146	886.529	84783.8	1453.13
NM_001244394.1	2205	1945.53	940	7.34134
NM_001244399.1	1821	1561.53	5251.65	51.1012
NM_001244401.2	1515	1255.53	0	0
NM_001244402.1	1725	1465.53	322489	3343.53
NM_001244405.2	3370	3110.53	9530.66	46.5558
NM_001244407.1	1047	787.529	0	0
NM_001244409.2	1292	1032.53	5	0.0735789
NM_001244411.1	1033	773.529	8259	162.232
NM_001244413.1	873	613.842	15	0.371296
NM_001244494.2	1251	991.529	5160	79.0732
NM_001244504.1	786	528.768	0	0
NM_001244507.1	845	586.204	11931	309.253
NM_001244515.2	477	261.723	0	0
NM_001244516.2	477	261.723	0	0
NM_001244518.2	474	259.51	0	0
NM_001244519.1	535	308.723	24101	1186.18
NM_001244533.1	456	245.263	3769.83	233.548
NM_001244535.1	834	575.37	3266	86.2491
NM_001244575.1	1128	868.529	225174	3939.31
NM_001244576.1	186	61.0016	1817	452.584
NM_001244577.1	186	61.0016	13	3.23808
NM_001244848.2	1786	1526.53	17097	170.177
NM_001244849.1	1778	1518.53	7183	71.8734
NM_001244850.1	1827	1567.53	5688	55.1352
NM_001244851.1	1670	1410.53	13975	150.541
NM_001244852.1	1542	1282.53	4480	53.0757
NM_001244853.1	1453	1193.53	1088	13.851
NM_001244854.2	1265	1005.53	314968	4759.45
NM_001246673.1	888	628.763	106046	2562.67
NM_001246674.2	775	518.168	44515	1305.33
NM_001246675.1	1095	835.529	2983	54.2472
NM_001246677.1	1049	789.529	11744	226.013
NM_001246678.1	2147	1887.53	40500	326.022
NM_001246679.1	1902	1642.53	2681	24.801
NM_001246680.1	2044	1784.53	4475	38.1026
NM_001246681.1	1723	1463.53	9712	100.831
NM_001246682.1	4198	3938.53	22654	87.3969
NM_001246683.1	1146	886.529	101	1.73107
NM_001246684.1	1467	1207.53	5851	73.6237
NM_001246685.1	1255	995.529	5592	85.349
NM_001246686.1	5571	5311.53	21701.1	62.0794
NM_001246687.1	4089	3829.53	5166	20.4972
NM_001246688.1	2894	2634.53	1463	8.43775
NM_001246689.1	516	293.305	8965	464.426
NM_001246690.1	2781	2521.53	27398	165.097
NM_001246691.1	1262	1002.53	1039	15.7472
NM_001246692.1	1185	925.529	1957	32.1282
NM_001246693.2	2469	2209.53	169416	1165.04
NM_001246694.2	1173	913.529	1834	30.5044
NM_001246695.1	1188	928.529	2049	33.5299
NM_001246696.1	1606	1346.53	2911	32.8482
NM_001246697.1	1541	1281.53	10642.8	126.186
NM_001246698.1	1149	889.529	1021	17.4402
NM_001246699.1	1036	776.529	2253	44.0848
NM_001246701.1	1351	1091.53	44049.2	613.18
NM_001246702.1	1834	1574.53	18607.7	179.567
NM_001246704.1	1450	1190.53	709	9.04881
NM_001246705.1	3141	2881.53	15505	81.7587
NM_001246706.1	1331	1071.53	15162	214.999
NM_001246707.1	2199	1939.53	2470	19.3502
NM_001246708.1	2208	1948.53	9413.98	73.4094
NM_001246709.1	2645	2385.53	2197	13.9936
NM_001246710.2	401	203.199	1678	125.474
NM_001246711.1	694	443.243	1	0.0342802
NM_001246712.1	1568	1308.53	0	0
NM_001246713.1	1264	1004.53	466	7.0487
NM_001246714.1	459	247.48	3263	200.338
NM_001246715.1	1965	1705.53	4718	42.0324
NM_001246716.1	1176	916.529	790	13.0968
NM_001246717.1	1623	1363.53	4081	45.4766
NM_001246718.1	1662	1402.53	581.533	6.30011
NM_001246720.1	3257	2997.53	11862	60.1284
NM_001246721.1	3047	2787.53	9373	51.091
NM_001246722.1	1632	1372.53	1556	17.2256
NM_001246723.1	3688	3428.53	4029	17.8556
NM_001246724.1	1312	1052.53	1418	20.4705
NM_001246725.1	1689	1429.53	34694.1	368.764
NM_001246726.1	1735	1475.53	10002	102.997
NM_001246727.1	2491	2231.53	19971	135.982
NM_001246728.1	3554	3294.53	5	0.0230601
NM_001246729.1	2243	1983.53	111261	852.291
NM_001246731.1	2216	1956.53	15418	119.737
NM_001246732.1	1921	1661.53	15172	138.746
NM_001246733.1	1845	1585.53	41140	394.253
NM_001246734.1	526	301.318	1170.39	59.0191
NM_001246735.2	1363	1103.53	169	2.32696
NM_001246736.1	1925	1665.53	12273	111.965
NM_001246737.1	1157	897.529	4961	83.9858
NM_001246738.1	5536	5276.53	28158	81.0847
NM_001246739.2	2333	2073.53	287037	2103.36
NM_001246740.1	2302	2042.53	4529	33.6914
NM_001246741.1	3899	3639.53	126817	529.441
NM_001246742.1	2703	2443.53	6911	42.9743
NM_001246743.1	833	574.388	6848	181.152
NM_001246744.1	633	390.657	42558	1655.28
NM_001246745.1	2515	2255.53	5730	38.6004
NM_001246746.1	849	590.129	6994	180.08
NM_001246747.1	1124	864.529	3100	54.4838
NM_001246748.1	1858	1598.53	21115	200.704
NM_001246749.1	1422	1162.53	11852	154.908
NM_001246750.1	3024	2764.53	5661	31.1141
NM_001246751.1	1268	1008.53	12026	181.183
NM_001246753.1	2469	2209.53	3292	22.6384
NM_001246754.1	1161	901.529	261	4.39892
NM_001246755.1	1958	1698.53	4430	39.6293
NM_001246756.1	2141	1881.53	7326	59.1618
NM_001246757.1	1020	760.529	2209	44.1332
NM_001246758.1	1880	1620.53	14022	131.474
NM_001246759.1	2696	2436.53	8780.98	54.7592
NM_001246760.1	1254	994.529	30388	464.269
NM_001246761.1	402	203.923	8147	607.038
NM_001246762.1	3370	3110.53	2566	12.5345
NM_001246763.1	1135	875.529	256	4.44278
NM_001246764.1	1257	997.529	1500	22.8481
NM_001246765.1	600	362.651	25666.2	1075.37
NM_001246766.1	2791	2531.53	8577	51.4799
NM_001246767.1	3077	2817.53	5559	29.9788
NM_001246768.1	890	630.763	12802	308.388
NM_001246769.1	1927	1667.53	7928	72.2396
NM_001246770.1	1122	862.529	1.00645	0.0177298
NM_001246771.1	2458	2198.53	3814	26.3593
NM_001246772.1	2998	2738.53	4001	22.1992
NM_001246773.1	554	324.323	78	3.65429
NM_001246774.1	1518	1258.53	113747	1373.29
NM_001246775.1	1226	966.529	14323.8	225.179
NM_001246776.1	1776	1516.53	52957	530.589
NM_001246777.2	1336	1076.53	3424	48.3274
NM_001246778.1	1255	995.529	1825	27.8544
NM_001246779.1	1311	1051.53	3615	52.2363
NM_001246780.2	680	430.883	11497	405.425
NM_001246781.1	3336	3076.53	9234	45.6052
NM_001246782.1	1599	1339.53	2316	26.2707
NM_001246783.1	2604	2344.53	8175	52.9807
NM_001246784.1	789	531.666	4283	122.404
NM_001246785.1	1157	897.529	11252	190.487
NM_001246786.1	1296	1036.53	0	0
NM_001246787.1	2126	1866.53	5096	41.4839
NM_001246788.2	1294	1034.53	1151	16.9051
NM_001246789.1	540	312.674	6738	327.435
NM_001246790.1	1849	1589.53	1832	17.5123
NM_001246791.1	1374	1114.53	10199.2	139.046
NM_001246792.1	465	252.182	733	44.1647
NM_001246793.1	1470	1210.53	1694	21.2629
NM_001246794.1	2349	2089.53	3607	26.2291
NM_001246795.1	636	393.153	3767	145.586
NM_001246796.1	1709	1449.53	3815	39.9901
NM_001246797.1	1652	1392.53	826.025	9.0131
NM_001246798.1	825	566.533	1825.31	48.9549
NM_001246799.1	471	257.087	28868	1706.17
NM_001246800.1	1463	1203.53	10039	126.742
NM_001246801.1	1548	1288.53	2451	28.9024
NM_001246802.1	3035	2775.53	16250	88.9596
NM_001246803.2	682	432.575	119210	4187.32
NM_001246804.1	964	704.552	5220.11	112.578
