target_id	length	eff_length	est_counts	tpm
NM_001243976.1	1836	1593.8	1278	17.6897
NM_001243977.1	1578	1335.8	11127.9	183.778
NM_001243978.1	1654	1411.8	21104.2	329.776
NM_001243979.1	1626	1383.8	12283.8	195.832
NM_001243980.1	1344	1101.8	2305	46.152
NM_001243981.1	3248	3005.8	426	3.1266
NM_001243982.1	3260	3017.8	1148	8.39218
NM_001243983.1	1226	983.803	1891.36	42.412
NM_001243986.1	2418	2175.8	5157	52.2879
NM_001243987.1	3905	3662.8	9.06772	0.0546146
NM_001243988.1	4296	4053.8	3255.59	17.7171
NM_001243989.1	4280	4037.8	430.114	2.34997
NM_001243990.1	3110	2867.8	2615	20.1162
NM_001243991.2	1523	1280.8	3225	55.5484
NM_001243992.1	3220	2977.8	6994	51.8148
NM_001243994.2	1291	1048.8	1913.72	40.2539
NM_001243995.2	1075	832.803	16737.3	443.371
NM_001243997.1	1086	843.803	11377.7	297.467
NM_001244001.1	1923	1680.8	2536	33.2856
NM_001244002.2	6731	6488.8	12803	43.5282
NM_001244003.1	3816	3573.8	758	4.6791
NM_001244004.1	4987	4744.8	22499	104.609
NM_001244005.2	1146	903.803	191.77	4.68091
NM_001244006.1	1176	933.803	1426.62	33.7037
NM_001244007.1	1209	966.803	1032.41	23.5581
NM_001244009.2	1770	1527.8	1520	21.9483
NM_001244010.1	1959	1716.8	1158	14.8803
NM_001244012.2	3050	2807.8	4655	36.5744
NM_001244013.1	2416	2173.8	4581	46.4905
NM_001244016.1	1327	1084.8	2525	51.3493
NM_001244017.1	2834	2591.8	572	4.86875
NM_001244018.2	1443	1200.8	1285	23.6078
NM_001244019.1	1455	1212.8	1294	23.5379
NM_001244020.1	821	580.475	2637	100.219
NM_001244021.1	1755	1512.8	2.65137	0.0386644
NM_001244022.1	1746	1503.8	0	0
NM_001244023.1	1671	1428.8	0	0
NM_001244024.1	2251	2008.8	0	0
NM_001244025.1	1691	1448.8	6	0.091362
NM_001244026.1	1966	1723.8	1682	21.5259
NM_001244027.1	1041	798.803	1361	37.5874
NM_001244028.1	324	147.745	4346.53	649.011
NM_001244032.1	2830	2587.8	1543	13.154
NM_001244033.1	1023	780.803	60602.7	1712.28
NM_001244034.1	3626	3383.8	11737	76.5202
NM_001244035.1	1244	1001.8	379	8.34604
NM_001244036.1	4119	3876.8	7094	40.3684
NM_001244037.1	1300	1057.8	640.813	13.3644
NM_001244039.1	2933	2690.8	67912	556.786
NM_001244040.1	454	247.679	48976	4362.32
NM_001244041.1	2460	2217.8	4006.66	39.855
NM_001244042.1	930	688.008	15799	506.594
NM_001244043.1	905	663.219	10434.3	347.08
NM_001244044.1	947	704.949	1117	34.9558
NM_001244045.1	1853	1610.8	7210.54	98.7527
NM_001244046.1	834	593.208	1723	64.077
NM_001244047.1	1139	896.803	3060.31	75.2823
NM_001244048.1	888	646.331	2171	74.1019
NM_001244049.1	1113	870.803	1413.69	35.8143
NM_001244050.1	999	756.803	60672	1768.6
NM_001244051.1	1080	837.803	6477.57	170.567
NM_001244052.1	1080	837.803	1666.43	43.8803
NM_001244053.1	1660	1417.8	150822	2346.78
NM_001244054.1	1068	825.803	29696	793.314
NM_001244055.1	1065	822.803	1179	31.6112
NM_001244056.1	1065	822.803	1770	47.4571
NM_001244057.1	1134	891.803	353	8.73232
