target_id	length	eff_length	est_counts	tpm
NM_001243976.1	1836	1580.87	3421	44.5078
NM_001243977.1	1578	1322.87	13228.8	205.675
NM_001243978.1	1654	1398.87	26659.4	391.969
NM_001243979.1	1626	1370.87	16565.3	248.532
NM_001243980.1	1344	1088.87	2204	41.6308
NM_001243981.1	3248	2992.87	927	6.37046
NM_001243982.1	3260	3004.87	1321	9.04182
NM_001243983.1	1226	970.868	2194	46.4788
NM_001243986.1	2418	2162.87	2639	25.095
NM_001243987.1	3905	3649.87	37.2221	0.20975
NM_001243988.1	4296	4040.87	3347.37	17.0376
NM_001243989.1	4280	4024.87	535.454	2.73621
NM_001243990.1	3110	2854.87	3168	22.8232
NM_001243991.2	1523	1267.87	1592	25.8254
NM_001243992.1	3220	2964.87	7341	50.9247
NM_001243994.2	1291	1035.87	1518.87	30.1574
NM_001243995.2	1075	819.868	12575.6	315.472
NM_001243997.1	1086	830.868	9770.56	241.861
NM_001244001.1	1923	1667.87	2747	33.8747
NM_001244002.2	6731	6475.87	14340	45.5438
NM_001244003.1	3816	3560.87	899	5.19257
NM_001244004.1	4987	4731.87	10340	44.9434
NM_001244005.2	1146	890.868	193.278	4.46218
NM_001244006.1	1176	920.868	1705.33	38.088
NM_001244007.1	1209	953.868	1937.29	41.7719
NM_001244009.2	1770	1514.87	1763	23.9362
NM_001244010.1	1959	1703.87	1468	17.7202
NM_001244012.2	3050	2794.87	3803	27.9862
NM_001244013.1	2416	2160.87	5937	56.5089
NM_001244016.1	1327	1071.87	10538	202.207
NM_001244017.1	2834	2578.87	504	4.01957
NM_001244018.2	1443	1187.87	1818	31.4778
NM_001244019.1	1455	1199.87	1140	19.5411
NM_001244020.1	821	567.42	3872	140.349
NM_001244021.1	1755	1499.87	10.1659	0.139403
NM_001244022.1	1746	1490.87	0	0
NM_001244023.1	1671	1415.87	0	0
NM_001244024.1	2251	1995.87	0	0
NM_001244025.1	1691	1435.87	1	0.014324
